bin	chrom	start	end	ix	n	size	type	bridge
207	9	141153431	141203431	1057	N	50000	contig	no
585	9	0	10000	1	N	10000	telomere	no
887	9	39663686	39713686	343	N	50000	clone	yes
893	9	40425834	40475834	350	N	50000	contig	no
897	9	40940341	40990341	354	N	50000	contig	no
900	9	41365793	41415793	359	N	50000	contig	no
910	9	42613955	42663955	370	N	50000	contig	no
920	9	43946569	43996569	381	N	50000	clone	yes
930	9	45250203	45350203	391	N	100000	contig	no
934	9	45815521	45865521	397	N	50000	contig	no
937	9	46216430	46266430	400	N	50000	clone	yes
944	9	47060133	47160133	408	N	100000	contig	no
946	9	47317679	47367679	410	N	50000	clone	no
1090	9	66192215	66242215	421	N	50000	clone	yes
1093	9	66614195	66664195	425	N	50000	clone	yes
1095	9	66863343	66913343	428	N	50000	clone	yes
1113	9	69278385	69328385	446	N	50000	clone	yes
1119	9	70010542	70060542	452	N	50000	clone	yes
1630	9	137041193	137091193	1020	N	50000	contig	no
1662	9	141203431	141213431	1058	N	10000	telomere	no
1	X	58632012	61632012	583	N	3000000	centromere	no
9	X	1047557	1097557	16	N	50000	contig	no
9	X	2068238	2118238	31	N	50000	contig	no
14	X	49242997	49292997	484	N	50000	contig	no
15	X	52395914	52445914	518	N	50000	contig	no
73	X	94821	144821	4	N	50000	contig	no
73	X	231384	281384	8	N	50000	contig	no
74	X	1134113	1184113	18	N	50000	contig	no
74	X	1264234	1314234	21	N	50000	contig	no
83	X	10738674	10788674	111	N	50000	clone	yes
128	X	58582012	58632012	582	N	50000	clone	no
146	X	76653692	76703692	724	N	50000	contig	no
187	X	120013235	120063235	1268	N	50000	clone	yes
209	X	143507324	143557324	1536	N	50000	contig	no
218	X	152277099	152327099	1624	N	50000	clone	yes
585	X	0	10000	1	N	10000	telomere	no
585	X	10000	60000	2	N	50000	contig	no
643	X	7623882	7673882	82	N	50000	clone	yes
868	X	37098256	37148256	355	N	50000	contig	no
966	X	49974173	50024173	494	N	50000	contig	no
1055	X	61632012	61682012	584	N	50000	clone	no
1451	X	113517668	113567668	1183	N	50000	contig	no
1467	X	115682290	115732290	1214	N	50000	contig	no
1721	X	148906424	148956424	1591	N	50000	clone	yes
1722	X	149032062	149082062	1594	N	50000	contig	no
1769	X	155260560	155270560	1668	N	10000	telomere	no
585	Y	0	10000	1	N	10000	telomere	no
585	Y	44821	94821	3	N	50000	contig	no
586	Y	181384	231384	7	N	50000	contig	no
592	Y	997557	1047557	15	N	50000	contig	no
593	Y	1084113	1134113	17	N	50000	contig	no
594	Y	1214234	1264234	20	N	50000	contig	no
600	Y	2018238	2068238	30	N	50000	contig	no
653	Y	8914955	8964955	92	N	50000	contig	no
655	Y	9241322	9291322	97	N	50000	contig	no
10	Y	10104553	13104553	105	N	3000000	centromere	no
685	Y	13143954	13193954	107	N	50000	contig	no
86	Y	13748578	13798578	112	N	50000	contig	no
92	Y	20143885	20193885	169	N	50000	clone	yes
94	Y	22369679	22419679	190	N	50000	clone	yes
767	Y	23901428	23951428	204	N	50000	contig	no
1	Y	28819361	58819361	249	N	30000000	heteroomatin	no
1034	Y	58917656	58967656	251	N	50000	contig	no
1037	Y	59363566	59373566	255	N	10000	telomere	no
1	10	39254935	42254935	341	N	3000000	centromere	no
110	10	39154935	39254935	340	N	100000	contig	no
113	10	42254935	42354935	342	N	100000	contig	no
118	10	47429169	47529169	387	N	100000	contig	no
118	10	47792476	47892476	390	N	100000	contig	no
118	10	48055707	48105707	392	N	50000	contig	no
119	10	49095536	49195536	403	N	100000	contig	no
195	10	128616069	128766069	1088	N	150000	contig	no
200	10	133381404	133431404	1129	N	50000	clone	yes
200	10	133677527	133727527	1135	N	50000	clone	yes
202	10	135524747	135534747	1156	N	10000	telomere	no
585	10	0	10000	1	N	10000	telomere	no
585	10	10000	60000	2	N	50000	contig	no
722	10	17974675	18024675	161	N	50000	clone	yes
881	10	38818835	38868835	337	N	50000	clone	yes
909	10	42546687	42596687	344	N	50000	clone	yes
939	10	46426964	46476964	375	N	50000	contig	no
975	10	51137410	51187410	419	N	50000	clone	yes
977	10	51398845	51448845	421	N	50000	clone	yes
1545	10	125869472	125919472	1061	N	50000	clone	yes
15	11	51644205	54644205	447	N	3000000	centromere	no
74	11	1162759	1212759	14	N	50000	clone	yes
121	11	50833853	51040853	440	N	207000	heteroomatin	no
122	11	51594205	51644205	446	N	50000	clone	no
125	11	54644205	54694205	448	N	50000	clone	no
139	11	69724695	69774695	583	N	50000	clone	yes
164	11	96287584	96437584	808	N	150000	contig	no
201	11	134996516	135006516	1135	N	10000	telomere	no
585	11	0	10000	1	N	10000	telomere	no
585	11	10000	60000	2	N	50000	contig	no
972	11	50783853	50833853	439	N	50000	clone	no
974	11	51040853	51090853	441	N	50000	clone	no
1112	11	69089801	69139801	575	N	50000	clone	yes
1254	11	87688378	87738378	736	N	50000	clone	yes
1614	11	134946516	134996516	1134	N	50000	contig	no
13	12	34856694	37856694	304	N	3000000	centromere	no
73	12	95739	145739	4	N	50000	clone	yes
79	12	7189876	7239876	66	N	50000	contig	no
189	12	122530623	122580623	1075	N	50000	contig	no
199	12	132706992	132806992	1171	N	100000	contig	no
585	12	0	10000	1	N	10000	telomere	no
585	12	10000	60000	2	N	50000	contig	no
1419	12	109373470	109423470	954	N	50000	contig	no
1606	12	133841895	133851895	1183	N	10000	telomere	no
1	13	10000	16000000	2	N	15990000	short_arm	no
1	13	16000000	19000000	3	N	3000000	centromere	no
91	13	19000000	19020000	4	N	20000	heteroomatin	no
155	13	86760324	86910324	617	N	150000	contig	no
180	13	112353994	112503994	848	N	150000	contig	no
182	13	114325993	114425993	866	N	100000	contig	no
182	13	114639948	114739948	870	N	100000	contig	no
585	13	0	10000	1	N	10000	telomere	no
1463	13	115109878	115159878	875	N	50000	contig	no
1463	13	115159878	115169878	876	N	10000	telomere	no
585	14	0	10000	1	N	10000	telomere	no
1	14	10000	16000000	2	N	15990000	short_arm	no
1	14	16000000	19000000	3	N	3000000	centromere	no
1403	14	107289540	107339540	667	N	50000	contig	no
175	14	107339540	107349540	668	N	10000	telomere	no
1	15	10000	17000000	2	N	16990000	short_arm	no
11	15	17000000	20000000	3	N	3000000	centromere	no
18	15	82829645	82879645	518	N	50000	contig	no
93	15	21398819	21885000	16	N	486181	clone	yes
585	15	0	10000	1	N	10000	telomere	no
744	15	20894633	20935075	12	N	40442	clone	yes
754	15	22212114	22262114	19	N	50000	contig	no
757	15	22596193	22646193	23	N	50000	contig	no
764	15	23514853	23564853	31	N	50000	contig	no
807	15	29159443	29209443	83	N	50000	contig	no
1233	15	84984473	85034473	539	N	50000	contig	no
1367	15	102521392	102531392	690	N	10000	telomere	no
1	16	38335801	46335801	355	N	8000000	heteroomatin	no
13	16	35335801	38335801	354	N	3000000	centromere	no
81	16	8636921	8686921	128	N	50000	clone	yes
105	16	34023150	34173150	343	N	150000	contig	no
159	16	90294753	90344753	731	N	50000	contig	no
585	16	0	10000	1	N	10000	telomere	no
585	16	10000	60000	2	N	50000	contig	no
854	16	35285801	35335801	353	N	50000	clone	no
938	16	46335801	46385801	356	N	50000	clone	no
1259	16	88389383	88439383	712	N	50000	contig	no
1274	16	90344753	90354753	732	N	10000	telomere	no
1	17	22263006	25263006	192	N	3000000	centromere	no
18	17	77546461	77596461	644	N	50000	clone	yes
73	17	296626	396626	4	N	100000	contig	no
93	17	21566608	21666608	185	N	100000	contig	no
849	17	34675848	34725848	278	N	50000	contig	no
1061	17	62410760	62460760	523	N	50000	clone	yes
1193	17	79709049	79759049	665	N	50000	contig	no
1	18	15460898	18460898	125	N	3000000	centromere	no
90	18	18460898	18510898	126	N	50000	clone	no
122	18	52059136	52209136	398	N	150000	contig	no
145	18	75721820	75771820	585	N	50000	clone	yes
585	18	0	10000	1	N	10000	telomere	no
702	18	15410898	15460898	124	N	50000	clone	no
1136	18	72283353	72333353	555	N	50000	clone	yes
1180	18	78017248	78067248	604	N	50000	contig	no
1180	18	78067248	78077248	605	N	10000	telomere	no
1	19	24681782	27681782	410	N	3000000	centromere	no
96	19	24631782	24681782	409	N	50000	heteroomatin	no
585	19	0	10000	1	N	10000	telomere	no
585	19	10000	60000	2	N	50000	contig	no
641	19	7346004	7396004	170	N	50000	contig	no
651	19	8687198	8737198	190	N	50000	contig	no
741	19	20523415	20573415	367	N	50000	clone	yes
796	19	27681782	27731782	411	N	50000	heteroomatin	no
1036	19	59118983	59128983	870	N	10000	telomere	no
585	20	0	10000	1	N	10000	telomere	no
585	20	10000	60000	2	N	50000	contig	no
98	20	26319569	26369569	274	N	50000	clone	no
12	20	26369569	29369569	275	N	3000000	centromere	no
809	20	29369569	29419569	276	N	50000	clone	no
101	20	29653908	29803908	279	N	150000	contig	no
851	20	34897085	34947085	336	N	50000	clone	yes
1051	20	61091437	61141437	624	N	50000	clone	yes
1052	20	61213369	61263369	628	N	50000	contig	no
1065	20	62965520	63015520	648	N	50000	contig	no
1065	20	63015520	63025520	649	N	10000	telomere	no
1	21	5211193	9411193	3	N	4200000	contig	no
9	21	10000	5211193	2	N	5201193	short_arm	no
10	21	11288129	14288129	22	N	3000000	centromere	no
14	21	42955559	43005559	419	N	50000	contig	no
82	21	10215976	10365976	12	N	150000	contig	no
83	21	11238129	11288129	21	N	50000	heteroomatin	no
585	21	0	10000	1	N	10000	telomere	no
658	21	9595548	9645548	5	N	50000	contig	no
659	21	9775437	9825437	7	N	50000	contig	no
661	21	10034920	10084920	10	N	50000	contig	no
666	21	10647896	10697896	15	N	50000	contig	no
670	21	11188129	11238129	20	N	50000	clone	no
694	21	14288129	14338129	23	N	50000	clone	no
925	21	44632664	44682664	447	N	50000	clone	yes
952	21	48119895	48129895	515	N	10000	telomere	no
1	22	10000	13000000	2	N	12990000	short_arm	no
1	22	16697850	16847850	27	N	150000	contig	no
10	22	13000000	16000000	3	N	3000000	centromere	no
92	22	20509431	20609431	81	N	100000	contig	no
121	22	51244566	51294566	591	N	50000	contig	no
585	22	0	10000	1	N	10000	telomere	no
707	22	16000000	16050000	4	N	50000	contig	no
969	22	50364777	50414777	563	N	50000	contig	no
976	22	51294566	51304566	592	N	10000	telomere	no
